-color_sensor_targrt:20.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:15.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:15.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:-0.200000;-0.010000;-0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:-0.200000;-0.010000;-0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:-0.200000;-0.010000;-0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:-0.200000;-0.010000;-0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:-0.200000;-0.010000;-0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:-0.200000;-0.010000;-0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:-0.200000;-0.010000;-0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.200000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,,,-color_sensor_targrt:25.000000 PID:0.160000;0.010000;0.010000-,,,,,,,
Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],,,Time[s], Battery[V], ColorSensor, PoseX[m], PoseY[m], Distance[m], Angle[deg],
0.006,7.898,0,0,0,0,0,,0.009,7.88,0,0,0,0,0,,8.242,7.861,0,0.141846,-0.21398,0.265971,-97.495731,,10.224,7.831,17,0.748387,1.378622,2.467712,164.801006,,0.011,7.87,22,0,0,0,0,,9.653,7.788,15,0.844504,1.34227,2.324892,149.844273,,0.009,7.851,27,0,0,0,0,,0.007,9.364,42,0,0,0,0,,12.331,8.991,6,0.821158,1.041023,2.981694,204.131652,,0.011,9.11,25,0,0,0,0,,13.641,8.822,0,0.156695,-1.288986,2.684935,-206.347462,,13.539,8.98,16,0.375349,-1.205413,2.521163,-206.624433,,0.003,9.012,0,0,0,0,0,,7.7,8.767,12,1.044706,-0.975334,1.850677,-87.524589,,0.01,8.904,0,0,0,0,0,,0.006,8.593,19,0,0,0,0,,,,,,,,,,0.003,8.348,0,0,0,0,0,,13.736,8.204,6,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.011,8.291,19,0,0,0,0,,8.841,8.137,18,0.980805,1.206611,2.139738,126.855226,,0.009,8.26,0,0,0,0,0,,0.003,8.23,15,0,0,0,0,,11.861,7.984,7,0.269332,1.296087,2.940643,231.275386,,0.007,8.212,0,0,0,0,0,255,,,,,,,,,,,3.94,7.945,19,0.907297,-0.089746,0.9232,-36.283918,255,,0.005,8.134,14,0,0,0,0,79,,,,,,,,,,,,,,,,,,,,13.652,7.904,8,0.252736,0.912567,3.36269,319.076946,255
0.003,7.898,0,0,0,0,0,,0.007,7.888,0,0,0,0,0,,8.295,7.861,0,0.141846,-0.21398,0.265971,-97.495731,,10.277,7.845,17,0.735157,1.382115,2.481395,165.908911,,0.009,7.87,22,0,0,0,0,,9.707,7.798,13,0.832968,1.348799,2.338147,151.229217,,0.007,7.851,28,0,0,0,0,,0.005,9.364,42,0,0,0,0,,12.384,9.038,6,0.808461,1.034869,2.995804,207.178395,,0.009,9.11,23,0,0,0,0,,13.7,8.793,0,0.156695,-1.288986,2.684935,-206.347462,,13.592,8.996,23,0.364311,-1.199762,2.533563,-207.455367,,0.005,9.012,0,0,0,0,0,,7.781,8.804,7,1.044835,-0.999271,1.874623,-92.510102,,0.001,8.904,0,0,0,0,0,,0.011,8.612,19,0,0,0,0,,,,,,,,,,0.009,8.348,0,0,0,0,0,,13.797,8.204,6,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.007,8.291,19,0,0,0,0,,8.912,8.137,17,0.972177,1.217775,2.153849,128.794064,,0.008,8.26,0,0,0,0,0,,0.002,8.23,15,0,0,0,0,,11.927,8.003,10,0.25859,1.281697,2.958603,235.153043,,0.006,8.212,0,0,0,0,0,255,,,,,,,,,,,4.009,8.011,20,0.91815,-0.098077,0.936884,-38.499762,255,,0.007,8.134,11,0,0,0,0,79,,,,,,,,,,,,,,,,,,,,13.725,7.934,21,0.26696,0.900919,3.381077,322.12367,255
0.003,7.898,0,0,0,0,0,,0.005,7.88,0,0,0,0,0,,8.362,7.861,1,0.141846,-0.21398,0.265971,-97.495731,,10.348,7.832,13,0.717258,1.386316,2.499782,167.847807,,0.002,7.86,21,0,0,0,0,,9.78,7.788,14,0.817089,1.357187,2.356107,152.891064,,0.005,7.851,28,0,0,0,0,,0.002,9.364,42,0,0,0,0,,12.437,9.057,6,0.796101,1.028064,3.009915,210.225119,,0.009,9.12,12,0,0,0,0,,,,,,,,,,13.651,8.979,10,0.352192,-1.193409,2.547246,-208.56333,,0.006,9.012,0,0,0,0,0,,7.839,8.858,8,1.043433,-1.015884,1.891299,-97.21876,,0.003,8.904,0,0,0,0,0,,0.005,8.612,19,0,0,0,0,,,,,,,,,,0.01,8.348,0,0,0,0,0,,13.858,8.204,6,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.006,8.291,19,0,0,0,0,,8.977,8.054,22,0.964727,1.226595,2.165395,131.286884,,0.007,8.26,0,0,0,0,0,,0.001,8.23,14,0,0,0,0,,11.992,8.077,10,0.248932,1.267067,2.976135,238.199786,,0.003,8.212,0,0,0,0,0,255,,,,,,,,,,,4.079,8.001,21,0.929392,-0.107296,0.951422,-40.161594,255,,0.01,8.134,10,0,0,0,0,79,,,,,,,,,,,,,,,,,,,,13.799,7.889,38,0.282076,0.889013,3.40032,321.292659,255
0.008,7.898,0,0,0,0,0,,0.002,7.888,0,0,0,0,0,,8.415,7.861,2,0.141846,-0.21398,0.265971,-97.495731,,10.401,7.818,13,0.705925,1.38852,2.511328,170.34051,,0.011,7.86,21,0,0,0,0,,9.833,7.788,15,0.805567,1.362826,2.368935,154.552844,,0.002,7.851,28,0,0,0,0,,0.006,9.364,42,0,0,0,0,,12.491,8.717,43,0.783327,1.020267,3.024882,211.610072,,0.002,9.11,5,0,0,0,0,,,,,,,,,,13.704,8.951,11,0.341816,-1.187438,2.559219,-211.333082,,0.006,9.012,0,0,0,0,0,,7.896,8.849,9,1.041261,-1.029391,1.904983,-101.096485,,0.005,8.914,0,0,0,0,0,,0.006,8.612,19,0,0,0,0,,,,,,,,,,0.005,8.348,0,0,0,0,0,,13.937,8.205,7,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.003,8.291,19,0,0,0,0,,9.043,8.053,21,0.955306,1.237099,2.179506,132.671721,,0.006,8.25,0,0,0,0,0,,0.008,8.23,14,0,0,0,0,,12.057,8.05,11,0.241431,1.25412,2.991101,241.800529,,0.003,8.212,0,0,0,0,0,255,,,,,,,,,,,4.148,8.001,18,0.940724,-0.117071,0.966389,-41.546509,255,,0.01,8.134,11,0,0,0,0,78,,,,,,,,,,,,,,,,,,,,13.896,7.795,48,0.299176,0.873515,3.42341,314.645347,38
0.002,7.898,0,0,0,0,0,,0.011,7.888,1,0,0,0,0,,8.51,7.861,3,0.141846,-0.21398,0.265971,-97.495731,,10.455,7.836,16,0.692382,1.390463,2.525011,173.11034,,0.009,7.86,20,0,0,0,0,,9.887,7.788,16,0.792347,1.368876,2.383473,156.214778,,0.011,7.851,28,0,0,0,0,,0.002,9.364,42,0,0,0,0,,12.544,9.066,58,0.77437,1.015265,3.035144,206.624433,,0.011,9.11,5,0,0,0,0,,,,,,,,,,13.757,8.96,11,0.331046,-1.180471,2.572047,-214.102775,,0.006,9.012,0,0,0,0,0,,7.953,8.794,16,1.038268,-1.042741,1.918666,-103.866169,,0.002,8.904,0,0,0,0,0,,0.006,8.612,19,0,0,0,0,,,,,,,,,,0.008,8.348,0,0,0,0,0,,14.004,8.195,10,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.002,8.291,19,0,0,0,0,,9.108,8.118,16,0.945423,1.247762,2.194044,133.225673,,0.003,8.25,0,0,0,0,0,,0.007,8.23,14,0,0,0,0,,12.123,8.003,15,0.234436,1.239931,3.006922,245.401195,,0.002,8.212,0,0,0,0,0,255,,,,,,,,,,,4.225,7.992,15,0.952413,-0.127733,0.98221,-43.485318,255,,0.002,8.134,11,0,0,0,0,77,,,,,,,,,,,,,,,,,,,,13.969,7.868,47,0.312583,0.858551,3.443507,309.936698,38
0.007,7.898,0,0,0,0,0,,0.009,7.88,2,0,0,0,0,,8.563,7.861,2,0.141846,-0.21398,0.265971,-97.495731,,10.508,7.818,17,0.679195,1.391809,2.538267,175.049178,,0.007,7.86,20,0,0,0,0,,9.94,7.789,16,0.780155,1.374077,2.396729,157.599645,,0.009,7.851,28,0,0,0,0,,0.011,9.364,42,0,0,0,0,,12.603,8.986,67,0.768473,1.012753,3.041559,199.700053,,0.009,9.1,5,0,0,0,0,,,,,,,,,,13.811,8.996,9,0.318549,-1.171486,2.587441,-217.426548,,0.006,9.012,0,0,0,0,0,,8.016,8.785,17,1.033894,-1.059276,1.93577,-105.528055,,0.004,8.904,0,0,0,0,0,,0.006,8.622,19,0,0,0,0,,,,,,,,,,0.003,8.348,0,0,0,0,0,,14.097,8.195,11,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.007,8.291,19,0,0,0,0,,9.173,8.145,16,0.936186,1.257268,2.2073,135.164608,,0.002,8.25,0,0,0,0,0,,0.006,8.23,14,0,0,0,0,,12.195,8.022,19,0.226855,1.222247,3.026165,247.893976,,0.001,8.212,0,0,0,0,0,255,,,,,,,,,,,4.295,8.039,14,0.963121,-0.138187,0.997176,-45.424127,255,,0.005,8.134,9,0,0,0,0,77,,,,,,,,,,,,,,,,,,,,14.043,7.913,47,0.325761,0.841183,3.465315,305.228108,38
0.001,7.898,0,0,0,0,0,,0.002,7.88,4,0,0,0,0,,8.616,7.861,0,0.141846,-0.21398,0.265971,-97.495731,,10.561,7.827,17,0.6647,1.392923,2.552805,176.157083,,0.007,7.87,21,0,0,0,0,,9.993,7.771,17,0.767841,1.378983,2.409985,158.984531,,0.007,7.851,28,0,0,0,0,,0.006,9.364,42,0,0,0,0,,12.656,8.784,76,0.759047,1.009958,3.051393,194.43752,,0.007,9.1,7,0,0,0,0,,,,,,,,,,13.864,8.996,5,0.307572,-1.162622,2.601552,-220.473271,,0.003,9.012,0,0,0,0,0,,8.074,8.849,16,1.029357,-1.075324,1.952447,-106.35894,,0.006,8.904,0,0,0,0,0,,0.006,8.622,19,0,0,0,0,,,,,,,,,,0.009,8.348,0,0,0,0,0,,14.158,8.195,11,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.006,8.291,19,0,0,0,0,,9.239,8.08,18,0.925898,1.266924,2.221411,138.211303,,0.007,8.25,0,0,0,0,0,,0.003,8.23,14,0,0,0,0,,12.26,8.05,14,0.220626,1.206318,3.043269,249.555921,,0.011,8.212,0,0,0,0,0,255,,,,,,,,,,,4.371,8.001,17,0.972664,-0.148579,1.011287,-49.024842,255,,0.003,8.134,9,0,0,0,0,77,,,,,,,,,,,,,,,,,,,,14.123,7.904,47,0.336753,0.823857,3.485841,300.242547,255
0.006,7.898,0,0,0,0,0,,0.006,7.88,8,0,0,0,0,,8.669,7.861,0,0.141846,-0.21398,0.265971,-97.495731,,10.635,7.825,16,0.643774,1.393974,2.573758,178.095901,,0.005,7.87,21,0,0,0,0,,10.047,7.789,16,0.7542,1.384013,2.424524,160.64629,,0.011,7.851,28,0,0,0,0,,0.002,9.364,42,0,0,0,0,,12.709,8.798,80,0.742681,1.00679,3.06807,188.621045,,0.002,9.11,7,0,0,0,0,,,,,,,,,,13.917,8.969,8,0.297102,-1.153165,2.615663,-223.520092,,0.005,9.012,0,0,0,0,0,,8.131,8.82,16,1.024922,-1.090065,1.967841,-107.466922,,0.006,8.904,0,0,0,0,0,,0.006,8.612,19,0,0,0,0,,,,,,,,,,0.004,8.348,0,0,0,0,0,,14.219,8.185,18,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.003,8.291,19,0,0,0,0,,9.304,8.071,19,0.914616,1.276758,2.236377,139.596101,,0.006,8.25,0,0,0,0,0,,0.009,8.23,14,0,0,0,0,,12.325,8.04,10,0.215011,1.190164,3.060373,252.325439,,0.003,8.212,0,0,0,0,0,255,,,,,,,,,,,4.44,7.992,17,0.982789,-0.160736,1.027109,-50.96367,255,,0.004,8.134,10,0,0,0,0,77,,,,,,,,,,,,,,,,,,,,14.196,7.932,48,0.344105,0.809852,3.501662,295.533898,255
0.009,7.898,0,0,0,0,0,,0.006,7.888,15,0,0,0,0,,8.722,7.861,0,0.141846,-0.21398,0.265971,-97.495731,,10.712,7.846,15,0.624963,1.394253,2.592573,180.311711,,0.002,7.86,21,0,0,0,0,,10.1,7.788,16,0.742052,1.388131,2.437352,162.308157,,0.002,7.851,28,0,0,0,0,,0.011,9.364,42,0,0,0,0,,12.763,8.929,44,0.722689,1.004781,3.088167,184.466417,,0.011,9.1,8,0,0,0,0,,,,,,,,,,13.971,8.715,58,0.28643,-1.142672,2.63063,-223.796966,,0.006,9.012,0,0,0,0,0,,8.188,8.82,13,1.02069,-1.103077,1.981524,-108.574827,,0.006,8.904,0,0,0,0,0,,0.006,8.612,19,0,0,0,0,,,,,,,,,,0.01,8.348,0,0,0,0,0,,14.28,8.185,27,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.002,8.291,19,0,0,0,0,,9.369,8.118,16,0.903419,1.28603,2.250916,141.258113,,0.003,8.25,0,0,0,0,0,,0.003,8.23,14,0,0,0,0,,12.399,7.984,13,0.210556,1.173655,3.077477,257.311137,,0.002,8.212,0,0,0,0,0,255,,,,,,,,,,,4.509,7.965,15,0.993545,-0.174579,1.04464,-52.902538,255,,0.007,8.134,13,0,0,0,0,76,,,,,,,,,,,,,,,,,,,,14.269,7.923,46,0.350262,0.795283,3.517483,290.825308,255
0.003,7.898,0,0,0,0,0,,0.002,7.88,21,0,0,0,0,,8.781,7.861,0,0.141846,-0.21398,0.265971,-97.495731,,10.765,7.843,18,0.612993,1.394027,2.604546,181.973558,,0.011,7.87,21,0,0,0,0,,10.153,7.771,16,0.729796,1.391919,2.45018,163.416208,,0.011,7.851,28,0,0,0,0,,0.009,9.354,42,0,0,0,0,,12.816,9.082,35,0.711609,1.003876,3.099285,185.574321,,0.009,9.1,8,0,0,0,0,,,,,,,,,,14.031,8.931,57,0.276761,-1.134252,2.643458,-217.703519,,0.006,9.012,0,0,0,0,0,,8.245,8.84,14,1.016403,-1.115167,1.994352,-110.236675,,0.006,8.914,0,0,0,0,0,,0.006,8.612,19,0,0,0,0,,,,,,,,,,0.005,8.348,0,0,0,0,0,,14.341,8.175,32,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.001,8.291,19,0,0,0,0,,9.44,8.08,21,0.891473,1.295043,2.265882,144.304759,,0.01,8.26,0,0,0,0,0,,0.002,8.23,14,0,0,0,0,,12.464,7.983,15,0.207646,1.158542,3.092871,260.634871,,0.009,8.212,0,0,0,0,0,255,,,,,,,,,,,4.579,8.03,12,1.004083,-0.18912,1.0626,-55.118357,255,,0.01,8.134,13,0,0,0,0,76,,,,,,,,,,,,,,,,,,,,14.351,7.915,41,0.356419,0.776607,3.537153,286.393709,233
0.009,7.898,0,0,0,0,0,,0.011,7.881,23,0,0,0,0,,8.834,7.861,0,0.141846,-0.21398,0.265971,-97.495731,,10.819,7.818,21,0.600177,1.393464,2.617373,183.081443,,0.001,7.86,21,0,0,0,0,,10.212,7.781,15,0.715382,1.395945,2.465146,165.354949,,0.009,7.851,28,0,0,0,0,,0.007,9.364,42,0,0,0,0,,12.869,8.881,44,0.702246,1.002957,3.108693,185.574321,,0.007,9.12,10,0,0,0,0,,,,,,,,,,14.108,8.903,67,0.267463,-1.128175,2.654575,-209.948128,,0.006,9.012,0,0,0,0,0,,8.302,8.804,14,1.011284,-1.128316,2.008463,-112.175464,,0.006,8.904,0,0,0,0,0,,0.003,8.612,19,0,0,0,0,,,,,,,,,,0.006,8.348,0,0,0,0,0,,14.41,8.176,32,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.007,8.291,19,0,0,0,0,,9.505,8.09,21,0.878836,1.303833,2.281276,145.966606,,0.009,8.26,0,0,0,0,0,,0.001,8.23,14,0,0,0,0,,12.529,8.013,15,0.205392,1.142451,3.10912,263.404681,,0.008,8.212,0,0,0,0,0,255,,,,,,,,,,,4.656,8.03,10,1.013277,-0.203031,1.079276,-58.165104,255,,0.002,8.134,14,0,0,0,0,76,,,,,,,,,,,,,,,,,,,,14.424,7.961,36,0.360834,0.760083,3.554257,284.177919,231
0.003,7.898,0,0,0,0,0,,0.009,7.881,27,0,0,0,0,,8.887,7.861,0,0.141846,-0.21398,0.265971,-97.495731,,10.872,7.828,25,0.587371,1.392718,2.630202,183.635483,,0.01,7.87,21,0,0,0,0,,10.265,7.779,15,0.702931,1.399028,2.477974,167.016796,,0.007,7.851,28,0,0,0,0,,0.011,9.364,42,0,0,0,0,,12.923,9.018,21,0.687769,1.001628,3.123231,185.574321,,0.011,9.11,13,0,0,0,0,,,,,,,,,,14.185,8.738,72,0.250087,-1.119941,2.673818,-202.469805,,0.006,9.012,0,0,0,0,0,,8.367,8.819,15,1.005602,-1.141698,2.023002,-113.83736,,0.006,8.904,0,0,0,0,0,,0.005,8.612,19,0,0,0,0,,,,,,,,,,0.003,8.348,0,0,0,0,0,,14.471,8.176,39,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.006,8.291,18,0,0,0,0,,9.571,8.108,19,0.864244,1.31355,2.298808,146.797608,,0.008,8.26,0,0,0,0,0,,0.011,8.23,14,0,0,0,0,,12.595,8.022,12,0.203752,1.124569,3.127079,266.174433,,0.007,8.212,0,0,0,0,0,255,,,,,,,,,,,4.725,7.966,11,1.020359,-0.215234,1.093387,-61.211818,255,,0.005,8.134,14,0,0,0,0,76,,,,,,,,,,,,,,,,,,,,14.497,7.915,37,0.364513,0.744257,3.570506,282.515896,229
0.009,7.898,0,0,0,0,0,,0.007,7.881,29,0,0,0,0,,8.94,7.861,0,0.141846,-0.21398,0.265971,-97.495731,,10.926,7.835,28,0.573287,1.391837,2.644313,183.912377,,0.008,7.87,21,0,0,0,0,,10.336,7.805,13,0.686622,1.402504,2.494651,169.509674,,0.005,7.851,28,0,0,0,0,,0.009,9.384,42,0,0,0,0,,12.976,9.026,10,0.67631,1.000232,3.134776,188.621045,,0.009,9.11,13,0,0,0,0,,,,,,,,,,14.239,8.939,68,0.231844,-1.113858,2.69306,-195.545425,,0.006,9.012,0,0,0,0,0,,8.424,8.84,14,1.000253,-1.153357,2.03583,-115.499217,,0.003,8.904,0,0,0,0,0,,0.006,8.622,19,0,0,0,0,,,,,,,,,,0.009,8.348,0,0,0,0,0,,14.538,8.166,41,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.003,8.291,19,0,0,0,0,,9.644,8.12,16,0.84947,1.322987,2.316339,148.182406,,0.007,8.25,0,0,0,0,0,,0.01,8.23,15,0,0,0,0,,12.66,7.983,11,0.203109,1.108335,3.143328,269.498147,,0.006,8.212,0,0,0,0,0,255,,,,,,,,,,,4.819,7.955,11,1.030926,-0.236241,1.116906,-64.812494,255,,0.007,8.134,15,0,0,0,0,76,,,,,,,,,,,,,,,,,,,,14.571,7.942,37,0.367409,0.72914,3.5859,279.192279,228
0.003,7.898,0,0,0,0,0,,0.001,7.88,32,0,0,0,0,,8.993,7.861,0,0.141846,-0.21398,0.265971,-97.495731,,10.979,7.829,29,0.560054,1.391063,2.657568,183.081443,,0.006,7.87,21,0,0,0,0,,10.397,7.779,16,0.674378,1.404458,2.507051,172.556397,,0.011,7.851,28,0,0,0,0,,0.007,9.364,42,0,0,0,0,,13.073,8.935,17,0.653271,0.995536,3.158295,193.329693,,0.007,9.1,15,0,0,0,0,,,,,,,,,,14.292,8.948,67,0.214723,-1.110116,2.710592,-189.728852,,0.006,9.012,0,0,0,0,0,,8.487,8.83,14,0.993803,-1.166386,2.050369,-117.161026,,0.005,8.904,0,0,0,0,0,,0.006,8.612,19,0,0,0,0,,,,,,,,,,0.004,8.348,0,0,0,0,0,,14.599,8.156,36,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.008,8.291,19,0,0,0,0,,9.709,8.08,17,0.837678,1.329926,2.330023,150.952168,,0.006,8.25,0,0,0,0,0,,0.009,8.23,14,0,0,0,0,,12.731,8.002,10,0.203438,1.090809,3.16086,273.098735,,0.003,8.212,0,0,0,0,0,255,,,,,,,,,,,4.895,7.982,11,1.039063,-0.254616,1.137003,-67.305309,255,,0.005,8.134,15,0,0,0,0,77,,,,,,,,,,,,,,,,,,,,14.651,7.942,35,0.3694,0.713446,3.601722,276.145478,226
0.008,7.898,0,0,0,0,0,,0.01,7.88,33,0,0,0,0,,9.046,7.861,0,0.141846,-0.21398,0.265971,-97.495731,,11.032,7.811,26,0.547662,1.3906,2.669969,181.696587,,0.002,7.86,22,0,0,0,0,,10.493,7.789,24,0.65097,1.406707,2.53057,175.603121,,0.009,7.851,28,0,0,0,0,,0.005,9.364,42,0,0,0,0,,13.127,9.018,8,0.634222,0.990637,3.177965,195.545425,,0.005,9.11,18,0,0,0,0,,,,,,,,,,14.353,9.016,62,0.198145,-1.108399,2.727268,-182.804492,,0.003,9.012,0,0,0,0,0,,8.544,8.831,14,0.9884,-1.176589,2.061914,-118.54597,,0.006,8.904,0,0,0,0,0,,0.006,8.612,19,0,0,0,0,,,,,,,,,,0.01,8.348,0,0,0,0,0,,14.66,8.157,35,-0.956742,-0.991839,2.861537,-162.308225,,,,,,,,,,0.007,8.291,19,0,0,0,0,,9.775,8.099,19,0.824037,1.337058,2.345417,153.72192,,0.011,8.26,0,0,0,0,0,,0.008,8.23,14,0,0,0,0,,12.796,8.04,9,0.204629,1.075464,3.176254,276.422605,,0.008,8.212,0,0,0,0,0,255,,,,,,,,,,,4.965,8.031,10,1.045357,-0.270977,1.154535,-70.352081,255,,0.007,8.134,13,0,0,0,0,77,,,,,,,,,,,,,,,,,,,,14.724,7.941,38,0.370687,0.69725,3.61797,273.375804,225
